bn:00028017n	 "A written account of ownership or obligation" "A written account of ownership or obligation"
bn:00077884n	 "Strict adherence to traditional methods or teachings" "Strict adherence to traditional methods or teachings" "Consisting of or derived from a story or a custom passed down from generation to generation."
bn:00051185n	 "A feeling of pleasure and enjoyment" "A feeling of pleasure and enjoyment" "I've always had a liking for reading" "She developed a liking for gin" "She developed a liking for gin" "I've always had a liking for reading"
bn:00012600n	 "Elastic straps that hold trousers up (usually used in the plural)" "Elastic straps that hold trousers up" "Suspenders or braces are fabric or leather straps worn over the shoulders to hold up trousers." "Straps worn over the shoulder to hold up trousers" "Fabric or leather straps worn over the shoulders to hold up trousers." "Straps or bands to sustain trousers; suspenders." "Straps or bands to sustain trousers." "An item of apparel consisting of a strap worn over the shoulder and used to hold up trousers. Called braces in other parts of the world." "An item used hold up trousers." "Small straps, attached to a suspender belt, that hold up a woman's stockings. (US) Garters."
bn:00034234n	 "Star-shaped cells with long processes; found in the white matter of the brain and spinal cord" "Star-shaped cells with long processes; found in the white matter of the brain and spinal cord" "A star-shaped glial cells in the brain and spinal cord."
bn:00069476n	 "A triangle with no two sides of equal length" "A triangle with no two sides of equal length" "A geometric figure that consists of three straight limiting lines (sides) and three corners that are the intersection points of two sides" "A triangle having each of its three sides of different lengths." "Triangle having each of its three sides of different lengths."
bn:00028671n	 "A barge (or a vessel resembling a barge) that is used for dredging" "A barge (or a vessel resembling a barge) that is used for dredging"
bn:00047038n	 "Excess in action and immoderate indulgence of bodily appetites, especially in passion or indulgence" "Excess in action and immoderate indulgence of bodily appetites, especially in passion or indulgence" "Excessive or immoderate indulgence of one's own personal desires and needs above all others." "Excessive or immoderate indulgence of one's own personal desires and needs." "The intemperance of their language" "The intemperance of their language"
bn:00068929n	 "A person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited)" "A person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited)" "Sales are activities related to selling or the number of goods sold in a given targeted time period." "The exchange of goods for profits" "Act of selling a product or service in return for money or other compensation" "A person whose job it is to sell things." "Natural person or legal entity providing, as a regular activity, a commercial service for the sake of another entity to which he/she/it is not subordinated." "A man whose job it is to sell things." "The activities involved in selling goods or services." "He's likable and motivated: perfect for a career in sales." "We have a sales training program beginning this Monday."
bn:00009779n	 "Hostile or warlike attitude or nature" "Hostile or warlike attitude or nature"
bn:00059560n	 "Cavity formed by the pharynx at the back of the mouth" "Cavity formed by the pharynx at the back of the mouth" "The part of the alimentary canal between the oral and nasal cavities and the larynx and esophagus." "The oral part of the pharynx, reaching from the uvula to the level of the hyoid bone."
bn:00044465n	 "A sacred place of pilgrimage" "A sacred place of pilgrimage" "Sanctum is a sacred place, in a shrine within a temple or church." "A thing that is extremely holy; used almost exclusively in Holy of Holies." "Holy thing." "A place set apart, as with a sanctum sanctorum; a sacred or private place; a private retreat or workroom." "A place set apart."
bn:00051715n	 "Someone who is employed to persuade legislators to vote for legislation that favors the lobbyist's employer" "Someone who is employed to persuade legislators to vote for legislation that favors the lobbyist's employer"
bn:00042192n	 "A spasmodic reflex of the throat made as if in swallowing" "A spasmodic reflex of the throat made as if in swallowing" "An indication of (the sound of) an involuntary fear reaction in the form of a swallowing motion." "The action of one who gulps."
