Part	Synset('region.n.01')
Whole	Synset('whole.n.02')
Descriptor	Synset('descriptor.n.02')
Orientation	Synset('orientation.n.03')
Material	Synset('fabric.n.01')
Creator	Synset('creator.n.02')
Source	Synset('beginning.n.04')
Connected_locations	None
Direction	Synset('direction.n.02')
Goal	Synset('goal.n.01')
door.n	Synset('door.n.04')
elevator.n	Synset('elevator.n.02')
lift.n	Synset('elevator.n.01')
escalator.n	Synset('escalator.n.02')
corridor.n	Synset('corridor.n.01')
hallway.n	Synset('hallway.n.01')
window.n	Synset('window.n.02')
staircase.n	Synset('stairway.n.01')
stairs.n	Synset('stairs.n.01')
step.n	Synset('step.v.06')
gate.n	Synset('gate.v.02')

Hunter	Synset('hunter.n.02')
Food	Synset('food.n.02')
Instrument	Synset('instrument.n.01')
Duration	Synset('duration.n.01')
Manner	Synset('manner.n.01')
Means	Synset('means.n.01')
Outcome	Synset('result.n.03')
Place	Synset('put.v.01')
Time	Synset('time.n.05')
Purpose	Synset('purpose.n.01')
Frequency	Synset('frequency.n.01')
Degree	Synset('degree.n.01')
Ground	Synset('land.n.04')
Particular_iteration	None
Co-participant	None
hunt.v	Synset('search.n.01')
fish.v	Synset('pisces.n.02')
seal.v	Synset('seal.v.06')

Entity	Synset('entity.n.01')
Time	Synset('time.v.05')
Place	Synset('put.v.01')
Circumstances	Synset('circumstance.n.01')
Descriptor	Synset('descriptor.n.02')
appear.v	Synset('appear.v.04')
occur.v	Synset('occur.v.03')
found.a	Synset('witness.v.02')

Constituent_parts	None
Formational_cause	None
Name	Synset('name.v.02')
Entity	Synset('entity.n.01')
Type	Synset('type.n.01')
item.n	Synset('detail.n.02')
entity.n	Synset('entity.n.01')
object.n	Synset('object.n.01')
thing.n	Synset('thing.n.12')
individual.n	Synset('person.n.01')
what.n	None

